1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199
1,1,6,2,1,3,10,6,3,2,2,4,8,1,5,2,3,9,4,10,2,2,6,8,3,3,2,11,2,8,3,2,16,2,4,8,4,8,5,5,1,4,9,5,2,14,2,10,3,3,8,3,9,2,2,4,2,11,10,9,5,2,12,3,2,4,5,6,6,2,8,15,13,3,3,3,3,8,2,2,9,3,11,4,12,2,3,18,8,2,4,3,10,7,2,4,5,16,2,3
"(2, 2, 1)","(2, 6, 3)","(3, 4, 1)","(4, 20, 5)","(2, 18, 9)","(6, 16, 1)","(4, 8, 1)","(5, 228, 57)","(7, 16, 1)","(11, 62, 5)","(4, 60, 15)","(43, 2488, 41)","(16, 218, 7)","(2, 54, 27)","(5, 16, 1)","(23, 212, 13)","(14, 372, 39)","(8, 208, 13)","(6, 152, 19)","(4, 24, 3)","(20, 256, 1)","(11, 56, 1)","(5, 684, 171)","(28, 988, 25)","(38, 2138, 25)","(31, 840, 69)","(29, 1162, 103)","(12, 134, 1)","(11, 186, 15)","(28, 238, 1)","(6, 32, 1)","(4, 180, 45)","(24, 664, 19)","(30, 2120, 17)","(43, 7464, 123)","(10, 262, 29)","(60, 3194, 19)","(16, 654, 21)","(38, 706, 1)","(44, 920, 1)","(2, 162, 81)","(12, 2104, 109)","(100, 5666, 7)","(17, 588, 33)","(17, 532, 17)","(48, 2654, 1)","(23, 636, 39)","(72, 4576, 1)","(18, 218, 1)","(6, 144, 9)","(14, 466, 11)","(45, 590, 23)","(8, 624, 39)","(106, 18208, 1)","(52, 5714, 19)","(6, 456, 57)","(29, 2128, 1)","(27, 2072, 13)","(4, 72, 9)","(75, 9844, 1)","(44, 1256, 5)","(20, 768, 3)","(7, 64, 1)","(37, 2060, 1)","(11, 168, 3)","(26, 760, 13)","(36, 920, 11)","(5, 2052, 513)","(14, 256, 1)","(136, 6422, 11)","(28, 2964, 75)","(140, 66448, 7)","(10, 128, 1)","(38, 6414, 75)","(59, 58900, 19)","(72, 5708, 41)","(31, 2520, 207)","(42, 1384, 1)","(28, 1346, 13)","(29, 3486, 309)","(44, 2026, 25)","(89, 9476, 11)","(6, 168, 21)","(17, 1372, 127)","(24, 344, 11)","(11, 558, 45)","(34, 1042, 7)","(8, 716, 89)","(28, 714, 3)","(110, 14158, 5)","(20, 3464, 23)","(6, 96, 3)","(72, 9994, 1)","(26, 1028, 43)","(4, 540, 135)","(40, 108916, 961)","(66, 2120, 1)","(24, 1992, 57)","(141, 6364, 5)","(15, 422, 13)"
,,"(5, 76, 19)","(2, 14, 7)",,"(14, 124, 13)","(2, 26, 13)","(3, 12, 3)","(31, 280, 23)","(2, 38, 19)","(2, 42, 21)","(5, 40, 5)","(8, 74, 17)",0,"(17, 196, 11)","(2, 62, 31)","(6, 48, 3)","(8, 136, 17)","(6, 98, 23)","(2, 78, 39)","(2, 82, 41)","(2, 86, 43)","(2, 90, 45)","(18, 88, 5)","(4, 140, 35)","(7, 48, 3)","(2, 106, 53)","(6, 80, 5)","(2, 114, 57)","(10, 2128, 133)","(2, 122, 61)","(2, 126, 63)","(4, 40, 5)","(2, 134, 67)","(5, 84, 21)","(10, 496, 31)","(12, 116, 5)","(5, 1140, 285)","(6, 112, 7)","(44, 830, 7)",0,"(12, 1132, 157)","(7, 80, 5)","(5, 48, 3)","(2, 178, 89)","(12, 800, 25)","(2, 186, 93)","(11, 310, 25)","(9, 104, 13)","(14, 1116, 117)","(7, 232, 29)","(21, 320, 5)","(4, 300, 75)","(2, 214, 107)","(2, 218, 109)","(6, 348, 87)","(2, 226, 113)","(43, 12440, 205)","(24, 25074, 1179)","(7, 160, 5)","(88, 1706, 19)","(2, 246, 123)","(33, 6436, 47)","(37, 764, 41)","(2, 258, 129)","(52, 3388, 23)","(11, 434, 35)","(2, 270, 135)","(72, 6424, 41)","(2, 278, 139)","(18, 264, 15)","(16, 316, 29)","(34, 2042, 47)","(4, 420, 105)","(2, 298, 149)","(18, 1550, 113)","(7, 144, 9)","(23, 1060, 65)","(2, 314, 157)","(2, 318, 159)","(15, 352, 11)","(72, 4454, 17)","(12, 402, 3)","(47, 886, 13)","(44, 3260, 17)","(2, 342, 171)","(17, 376, 37)","(8, 1040, 65)","(10, 6384, 399)","(2, 358, 179)","(20, 1520, 55)","(2, 366, 183)","(6, 760, 95)","(26, 2000, 5)","(2, 378, 189)","(46, 2374, 47)","(24, 1508, 31)","(4, 120, 15)","(2, 394, 197)","(15, 440, 47)"
,,"(2, 10, 5)",,,"(2, 22, 11)","(24, 2786, 131)","(2, 30, 15)","(2, 34, 17)",0,0,"(5, 28, 7)","(3, 20, 5)",0,"(2, 58, 29)",0,"(2, 66, 33)","(4, 100, 25)","(6, 116, 29)","(24, 8358, 393)",0,0,"(3, 36, 9)","(7, 520, 65)","(2, 98, 49)","(2, 102, 51)",0,"(6, 56, 7)",0,"(10, 1156, 181)","(66, 49916, 235)",0,"(3, 52, 13)",0,"(5, 120, 15)","(2, 142, 71)","(15, 404, 47)","(8, 222, 51)","(4, 220, 55)","(2, 158, 79)",0,"(24, 3292, 65)","(3, 68, 17)","(2, 174, 87)",0,"(4, 56, 7)",0,"(11, 364, 23)","(2, 194, 97)","(2, 198, 99)","(14, 448, 7)","(2, 206, 103)","(5, 1596, 399)",0,0,"(6, 294, 69)",0,"(34, 1928, 17)","(2, 234, 117)","(7, 112, 7)","(6, 176, 11)",0,"(16, 1090, 35)","(2, 254, 127)",0,"(26, 814, 17)","(4, 380, 95)","(3, 108, 27)","(29, 160000, 503)",0,"(7, 1074, 219)","(4, 88, 11)","(5, 80, 5)","(2, 294, 147)","(42, 11596, 667)","(2, 302, 151)","(2, 306, 153)","(3, 124, 31)",0,0,"(43, 17416, 287)","(2, 326, 163)","(14, 1860, 195)","(17, 1084, 95)","(4, 104, 13)",0,"(2, 346, 173)","(16, 1526, 49)","(10, 3468, 543)",0,"(80, 16100, 11)","(66, 149748, 705)","(6, 490, 115)","(7, 176, 11)",0,"(2, 382, 191)","(18, 320, 5)","(5, 2964, 741)",0,"(2, 398, 199)"
,,"(5, 58, 23)",,,,"(8, 1688, 211)","(5, 174, 69)",0,0,0,"(2, 46, 23)","(5, 380, 95)",0,"(65, 3415660, 3811)",0,0,"(3, 28, 7)","(2, 74, 37)","(8, 5064, 633)",0,0,"(5, 522, 207)","(7, 412, 89)",0,0,0,"(28, 1268, 41)",0,"(2, 118, 59)",0,0,"(5, 988, 247)",0,"(2, 138, 69)","(27, 96976, 4409)","(2, 146, 73)","(3, 60, 15)","(14, 868, 91)","(23, 3728, 233)",0,"(2, 166, 83)","(31, 1400, 115)","(65, 10246980, 11433)",0,"(12, 278, 59)",0,"(11, 472, 17)",0,0,"(7, 304, 19)",0,"(8, 408, 51)",0,0,"(2, 222, 111)",0,"(3, 92, 23)","(8, 15192, 1899)","(7, 88, 11)","(14, 1364, 143)",0,"(8, 370, 85)",0,0,"(2, 262, 131)","(42, 6698, 59)","(5, 1566, 621)","(2, 274, 137)",0,"(7, 1560, 195)","(6, 208, 13)","(22, 656, 23)",0,0,0,0,"(5, 2356, 589)",0,0,"(29, 3322, 79)",0,"(5, 2508, 627)","(2, 334, 167)","(2, 338, 169)",0,0,"(8, 446, 101)","(2, 354, 177)",0,"(2, 362, 181)",0,"(6, 580, 145)","(6, 272, 17)",0,"(40, 45736, 2405)","(84, 27428, 91)","(3, 156, 39)",0,0
,,"(27, 4162, 187)",,,,"(8, 1364, 259)","(27, 12486, 561)",0,0,0,0,"(2, 50, 25)",0,"(65, 1577104, 7055)",0,0,"(5, 532, 133)",0,"(8, 4092, 777)",0,0,"(27, 37458, 1683)","(7, 358, 73)",0,0,0,"(3, 44, 11)",0,"(10, 1480, 185)",0,0,"(2, 130, 65)",0,0,"(27, 59878, 2809)",0,"(2, 150, 75)","(2, 154, 77)","(23, 2774, 265)",0,0,"(5, 1292, 323)","(65, 4731312, 21165)",0,"(4, 260, 65)",0,"(3, 76, 19)",0,0,"(7, 184, 23)",0,"(3, 84, 21)",0,0,0,0,"(5, 200, 25)","(8, 12276, 2331)","(39, 592, 23)","(2, 242, 121)",0,"(3, 100, 25)",0,0,0,"(2, 266, 133)","(27, 112374, 5049)","(29, 26836, 967)",0,"(7, 1020, 255)","(16, 1072, 17)","(17, 980, 55)",0,0,0,0,"(2, 310, 155)",0,0,"(15, 304, 19)",0,"(6, 240, 15)",0,"(24, 36218, 1703)",0,0,"(8, 824, 103)","(10, 4440, 555)",0,0,0,"(3, 148, 37)","(14, 2108, 221)",0,0,"(2, 386, 193)","(2, 390, 195)",0,0
,,"(27, 5098, 347)",,,,"(8, 1202, 227)","(27, 15294, 1041)",0,0,0,0,"(5, 290, 115)",0,0,0,0,"(2, 70, 35)",0,"(8, 3606, 681)",0,0,"(27, 45882, 3123)","(7, 340, 85)",0,0,0,"(14, 620, 65)",0,"(10, 868, 217)",0,0,"(24, 13930, 655)",0,0,"(27, 52174, 3985)",0,"(5, 870, 345)",0,0,0,0,"(2, 170, 85)",0,0,"(2, 182, 91)",0,"(5, 1444, 361)",0,0,"(7, 196, 31)",0,"(2, 210, 105)",0,0,0,0,"(5, 140, 35)","(8, 10818, 2043)","(4, 340, 85)",0,0,"(33, 1954, 143)",0,0,0,0,"(27, 137646, 9369)","(29, 13714, 743)",0,"(7, 1236, 267)","(14, 1612, 169)","(3, 116, 29)",0,0,0,0,"(5, 1798, 713)",0,0,"(4, 460, 115)",0,"(28, 3804, 123)",0,"(8, 21944, 2743)",0,0,"(8, 680, 85)","(10, 2604, 651)",0,0,0,"(5, 2812, 703)","(31, 3080, 253)",0,0,0,"(24, 41790, 1965)",0,0
,,,,,,"(8, 1148, 287)",0,0,0,0,0,"(27, 20810, 935)",0,0,0,0,"(5, 406, 161)",0,"(8, 3444, 861)",0,0,0,"(2, 94, 47)",0,0,0,"(5, 836, 209)",0,"(10, 1192, 149)",0,0,"(5, 754, 299)",0,0,"(27, 82720, 2585)",0,"(27, 62430, 2805)",0,0,0,0,"(5, 986, 391)",0,0,"(24, 19502, 917)",0,"(2, 190, 95)",0,0,"(7, 148, 37)",0,"(5, 1218, 483)",0,0,0,0,"(5, 1748, 437)","(8, 10332, 2583)","(25, 2392, 125)",0,0,"(5, 1900, 475)",0,0,0,0,0,0,0,"(2, 282, 141)","(2, 286, 143)","(5, 2204, 551)",0,0,0,0,"(27, 129022, 5797)",0,0,"(5, 280, 35)",0,"(3, 132, 33)",0,"(8, 17732, 3367)",0,0,"(24, 2444, 29)","(10, 3576, 447)",0,0,0,"(2, 370, 185)","(2, 374, 187)",0,0,0,"(5, 2262, 897)",0,0
,,,,,,"(8, 1004, 251)",0,0,0,0,0,"(27, 25490, 1735)",0,0,0,0,"(27, 29134, 1309)",0,"(8, 3012, 753)",0,0,0,"(7, 286, 101)",0,0,0,"(2, 110, 55)",0,"(10, 886, 221)",0,0,"(8, 8440, 1055)",0,0,"(27, 80686, 4121)",0,"(27, 76470, 5205)",0,0,0,0,"(27, 70754, 3179)",0,0,"(8, 11816, 1477)",0,"(5, 1102, 437)",0,0,"(2, 202, 101)",0,"(27, 87402, 3927)",0,0,0,0,"(2, 230, 115)","(8, 9036, 2259)","(31, 1960, 161)",0,0,"(2, 250, 125)",0,0,0,0,0,0,0,"(7, 858, 303)","(24, 30646, 1441)","(2, 290, 145)",0,0,0,0,"(27, 158038, 10757)",0,0,"(5, 196, 49)",0,"(2, 330, 165)",0,"(8, 15626, 2951)",0,0,"(8, 518, 119)","(10, 2658, 663)",0,0,0,"(5, 2146, 851)",0,0,0,0,"(8, 25320, 3165)",0,0
,,,,,,"(8, 986, 283)",0,0,0,0,0,0,0,0,0,0,"(27, 35686, 2429)",0,"(8, 2958, 849)",0,0,0,0,0,0,0,"(5, 638, 253)",0,0,0,0,"(8, 6820, 1295)",0,0,0,0,0,0,0,0,0,"(27, 86666, 5899)",0,0,"(8, 9548, 1813)",0,"(27, 79078, 3553)",0,0,0,0,"(27, 107058, 7287)",0,0,0,0,"(5, 1334, 529)","(8, 8874, 2547)","(2, 238, 119)",0,0,"(118, 272656, 899)",0,0,0,0,0,0,0,0,"(8, 18568, 2321)","(5, 1682, 667)",0,0,0,0,0,0,0,"(2, 322, 161)",0,"(5, 1914, 759)",0,"(8, 14924, 3731)",0,0,"(4, 500, 125)",0,0,0,0,"(27, 153994, 6919)",0,0,0,0,"(8, 20460, 3885)",0,0
,,,,,,"(8, 842, 319)",0,0,0,0,0,0,0,0,0,0,0,0,"(8, 2526, 957)",0,0,0,0,0,0,0,"(27, 45782, 2057)",0,0,0,0,"(8, 6010, 1135)",0,0,0,0,0,0,0,0,0,0,0,0,"(8, 8414, 1589)",0,"(27, 96862, 6593)",0,0,0,0,0,0,0,0,0,"(27, 95726, 4301)","(8, 7578, 2871)",0,0,0,"(5, 1450, 575)",0,0,0,0,0,0,0,0,"(8, 15004, 2849)","(27, 120698, 5423)",0,0,0,0,0,0,0,0,0,"(27, 137346, 6171)",0,"(8, 13052, 3263)",0,0,"(3, 140, 35)",0,0,0,0,"(27, 188626, 12839)",0,0,0,0,"(8, 18030, 3405)",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"(27, 56078, 3817)",0,0,0,0,"(8, 5740, 1435)",0,0,0,0,0,0,0,0,0,0,0,0,"(8, 8036, 2009)",0,0,0,0,0,0,0,0,0,0,0,"(27, 117254, 7981)",0,0,0,0,"(27, 104050, 4675)",0,0,0,0,0,0,0,0,"(8, 13222, 2497)","(27, 147842, 10063)",0,0,0,0,0,0,0,0,0,"(27, 168234, 11451)",0,"(8, 12818, 3679)",0,0,"(8, 572, 143)",0,0,0,0,0,0,0,0,0,"(8, 17220, 4305)",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(8, 5020, 1255)",0,0,0,0,0,0,0,0,0,0,0,0,"(8, 7028, 1757)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(27, 127450, 8675)",0,0,0,0,0,0,0,0,"(8, 12628, 3157)","(65, 17078300, 19055)",0,0,0,0,0,0,0,0,0,0,0,"(8, 10946, 4147)",0,0,"(8, 662, 73)",0,0,0,0,0,0,0,0,0,"(8, 15060, 3765)",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(8, 4930, 1415)",0,0,0,0,0,0,0,0,0,0,0,0,"(8, 6902, 1981)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(8, 11044, 2761)","(65, 7885520, 35275)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(16, 1328, 53)",0,0,0,0,0,0,0,0,0,"(8, 14790, 4245)",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(8, 4210, 1595)",0,0,0,0,0,0,0,0,0,0,0,0,"(8, 5894, 2233)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(8, 10846, 3113)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(5, 2660, 665)",0,0,0,0,0,0,0,0,0,"(8, 12630, 4785)",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(27, 54106, 2431)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(8, 9262, 3509)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(2, 350, 175)",0,0,0,0,0,0,0,0,0,"(27, 162318, 7293)",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(27, 66274, 4511)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(5, 2030, 805)",0,0,0,0,0,0,0,0,0,"(27, 198822, 13533)",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(27, 145670, 6545)",0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(27, 178430, 12145)",0,0,0,0,0,0,0,0,0,0,0,0
